€;1;2;3;4;5;6
E 15Ü;7064.22;7816.47;8530.40;8998.63;9113.81;
E 15;5829.27;6250.54;6473.14;7263.83;7862.56;8091.73
E 14;5298.92;5682.48;5997.22;6473.14;7202.36;7411.75
E 13Ü;;5260.29;5528.97;6473.14;7202.36;7411.75
E 13;4903.11;5260.29;5528.97;6050.94;6772.50;6968.98
E 12;4441.09;4738.31;5367.77;5920.46;6634.34;6826.66
E 11;4304.54;4579.10;4891.83;5367.77;6058.63;6233.69
E 10;4160.38;4429.81;4738.31;5053.02;5651.81;5814.65
E 9b;3729.43;3987.71;4156.93;4624.56;5022.33;5166.32
E 9a;3729.43;3987.71;4044.13;4156.93;4624.56;4755.16
E 8;3522.79;3769.52;3910.14;4044.13;4192.21;4283.85
E 7;3333.56;3574.50;3755.79;3896.06;4008.88;4107.57
E 6;3282.80;3521.30;3654.32;3790.31;3881.95;3980.65
E 5;3166.80;3401.59;3534.61;3660.98;3762.64;3832.61
E 4;3038.30;3275.23;3441.49;3534.61;3627.74;3687.57
E 3;3003.62;3235.31;3301.82;3408.23;3494.70;3567.87
E 2Ü;2896.09;3122.24;3208.70;3315.14;3388.30;3488.07
E 2;2825.68;3042.42;3108.94;3175.45;3328.41;3488.07
E 1;;2611.03;2642.52;2680.36;2718.19;2812.76
